Num Org,Articulo,Valor Nominal,Valor Cuota,Tipo Articulo,Nro Titulo,Nombre,Codigo Postal,Localidad,Cod. Provincia,Región,Fecha Nacimiento,Edad,Sexo,Cuota,Fecha Pago,Periodo,Tipo de venta,Estado Civil,Nivel Educativo
7,871,12285912,42800,Dinero,739093,"GUIRADO, LAUTARO NOE",515500,TANTI,Córdoba,Centro,6/12/1997,26,Masculino,1,09/02/23,02/2023,Tradicional,Divorciado(a),Terciario
7,871,12285912,42800,Dinero,739094,"ROBLEDO, JUAN CARLOS",515200,VILLA CARLOS PAZ,Córdoba,Centro,20/04/1961,63,Masculino,1,24/02/23,02/2023,Tradicional,Divorciado(a),Universitario
7,864,9185212,32000,Moto,739095,"LEYRIA, RAMON ROSA",515200,VILLA CARLOS PAZ,Córdoba,Centro,31/08/1955,69,Masculino,1,16/02/23,02/2023,Tradicional,Soltero(a),Primario
7,864,9185212,32000,Moto,739096,"TOMAS, JORGE ANTONIO",515300,ICHO CRUZ,Córdoba,Centro,20/05/1960,64,Masculino,1,16/02/23,02/2023,Tradicional,Casado(a),Universitario
7,813,71773418,250000,Utilitario,739097,"BAZAN, SANDRA ROXANA",515200,VILLA CARLOS PAZ,Córdoba,Centro,2/04/1972,52,Femenino,1,08/02/23,02/2023,Tradicional,Soltero(a),Primario
7,871,12285912,42800,Dinero,739098,"VELAZQUEZ, AGUSTIN",515201,SANTA CRUZ DEL LAGO,Córdoba,Centro,5/05/2004,20,Masculino,1,27/02/23,02/2023,Tradicional,Divorciado(a),Universitario
7,871,12285912,42800,Dinero,739100,"GUTIERREZ, NANCY YAMILA",515200,VILLA CARLOS PAZ,Córdoba,Centro,5/06/2001,23,Femenino,1,17/02/23,02/2023,Tradicional,Viudo(a),Terciario
7,864,9185212,32000,Moto,739485,"PAZ, EDITH ALEJANDRA",515200,VILLA CARLOS PAZ,Córdoba,Centro,24/01/1967,57,Femenino,1,07/02/23,02/2023,Tradicional,Divorciado(a),Secundario
7,871,12285912,42800,Dinero,739499,"ALVAREZ, PABLO SEBASTIAN",515500,TANTI,Córdoba,Centro,21/04/1976,48,Masculino,1,17/02/23,02/2023,Tradicional,Casado(a),Secundario
13,871,12285912,42800,Dinero,626775,"SANDOVAL, ADA DOLORES",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,11/12/1958,65,Femenino,1,27/08/16,02/2023,Tradicional,Viudo(a),Terciario
13,819,27272629,95000,Automóvil,738492,"SILVANI, KARINA VALERIA",430000,LA BANDA,Santiago del Estero,NOA,21/06/1969,55,Femenino,1,06/02/23,02/2023,Tradicional,Soltero(a),Universitario
13,828,9558444,33300,Moto,738494,"STRADA, SILVIO FERNANDO",420604,ZANJON,Santiago del Estero,NOA,7/05/1981,43,Masculino,1,17/02/23,02/2023,Tradicional,Casado(a),Universitario
13,870,7261629,25300,Moto,738513,"GIMENEZ, CINTHIA GISELLE",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,24/04/1995,29,Femenino,1,25/02/23,02/2023,Tradicional,Viudo(a),Secundario
13,869,7261629,25300,Moto,738515,"FERNANDEZ, MONICA ROXANA",430000,LA BANDA,Santiago del Estero,NOA,24/12/1979,44,Femenino,1,13/02/23,02/2023,Tradicional,Divorciado(a),Terciario
13,815,29039763,102200,Dinero,738518,"ALBARRACIN, PEDRO FLORENTINO",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,7/06/1995,29,Masculino,1,22/02/23,02/2023,Tradicional,Viudo(a),Secundario
13,831,20152503,70200,Dinero,738519,"HERRERA, MARIA DEL HUERTO",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,14/02/1982,42,Femenino,1,13/02/23,02/2023,Tradicional,Divorciado(a),Secundario
13,822,21530592,75000,Automóvil,738520,"SAEZ, AGUSTIN ALEJANDRO",430800,BELTRAN,Santiago del Estero,NOA,30/07/2004,20,Masculino,1,22/02/23,02/2023,Tradicional,Viudo(a),Secundario
13,813,71773418,250000,Utilitario,738522,"RIVADENEIRA, WALTER",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,12/01/1977,47,Masculino,1,13/02/23,02/2023,Tradicional,Viudo(a),Universitario
