Num Org,Articulo,Valor Nominal,Valor Cuota,Tipo Articulo,Nro Titulo,Nombre,Codigo Postal,Localidad,Cod. Provincia,Región,Fecha Nacimiento,Edad,Sexo,Cuota,Fecha Pago,Periodo,Tipo de venta,Estado Civil,Nivel Educativo
1,870,7261629,25300,Moto,742223,JHON GILMER CARO VEGA,255000,BELL VILLE,Córdoba,Centro,22/03/1982,42,Masculino,1,,03/2023,Online,Casado(a),Secundario
5,873,33588870,117000,Automóvil,741286,"CICHINI, FRANCISCO NORBERTO",623000,GENERAL VILLEGAS,Buenos Aires,Buenos Aires,12/03/1965,59,Masculino,1,22/03/23,03/2023,Tradicional,Soltero(a),Universitario
7,864,9185212,32000,Moto,740431,"CACERES, OLGA MARGARITA",515200,VILLA CARLOS PAZ,Córdoba,Centro,22/02/1962,62,Femenino,1,25/03/23,03/2023,Tradicional,Viudo(a),Universitario
7,870,7261629,25300,Moto,740432,"LEYRIA, JESICA ANTONELLA",515200,VILLA CARLOS PAZ,Córdoba,Centro,8/09/1990,34,Femenino,1,22/03/23,03/2023,Tradicional,Soltero(a),Secundario
7,875,27272629,95000,Automóvil,740675,"ACIAR, MATIAS RICARDO",515300,ICHO CRUZ,Córdoba,Centro,10/02/1988,36,Masculino,1,08/03/23,03/2023,Tradicional,Viudo(a),Secundario
7,813,71773418,250000,Utilitario,740677,"CULLA, MARIA DEL CARMEN",515200,VILLA CARLOS PAZ,Córdoba,Centro,2/06/1963,61,Femenino,1,10/03/23,03/2023,Tradicional,Divorciado(a),Secundario
7,875,27272629,95000,Automóvil,740679,"CABRERA, RAFAEL DEL VALLE",515200,VILLA CARLOS PAZ,Córdoba,Centro,15/06/1957,67,Masculino,1,,03/2023,Tradicional,Casado(a),Terciario
7,813,71773418,250000,Utilitario,740681,"BARRIO NUEVO, MARCOS DANIEL",515200,VILLA CARLOS PAZ,Córdoba,Centro,16/02/1989,35,Masculino,1,25/03/23,03/2023,Tradicional,Soltero(a),Secundario
7,833,N/A,N/A,Dinero,740683,"ROBLEDO, AYRTON RODRIGO",515200,VILLA CARLOS PAZ,Córdoba,Centro,2/06/2003,21,Masculino,1,,03/2023,Tradicional,Casado(a),Secundario
7,872,12285912,42800,Dinero,740684,"AGUIRRE, DOMINGO JAVIER",515500,TANTI,Córdoba,Centro,19/12/1979,44,Masculino,1,17/03/23,03/2023,Tradicional,Viudo(a),Primario
7,822,21530592,75000,Automóvil,740685,"BROLA, AGUSTIN",515200,VILLA CARLOS PAZ,Córdoba,Centro,10/09/1998,26,Masculino,1,09/03/23,03/2023,Tradicional,Casado(a),Primario
7,864,9185212,32000,Moto,741183,"MOREDA, ANDREA ELIZABETH",515200,VILLA CARLOS PAZ,Córdoba,Centro,14/12/1975,48,Femenino,1,25/03/23,03/2023,Tradicional,Viudo(a),Terciario
7,814,29039763,102200,Dinero,741184,"AMADO, CARLOS LUIS",515200,VILLA CARLOS PAZ,Córdoba,Centro,14/07/1992,32,Masculino,1,,03/2023,Tradicional,Soltero(a),Terciario
7,854,N/A,N/A,Moto,741188,"SOSA, SILVIA PAOLA",515301,SAN ANT.DE ARREDONDO,Córdoba,Centro,9/07/1982,42,Femenino,1,08/03/23,03/2023,Tradicional,Viudo(a),Terciario
7,817,7634862,26600,Moto,741189,"PEREYRA, JOSE DANIEL",515200,VILLA CARLOS PAZ,Córdoba,Centro,2/03/1964,60,Masculino,1,17/03/23,03/2023,Tradicional,Soltero(a),Terciario
7,813,71773418,250000,Utilitario,741191,"VALENCIA, DELIA ELIZABETH",515200,VILLA CARLOS PAZ,Córdoba,Centro,29/07/1963,61,Femenino,1,17/03/23,03/2023,Tradicional,Casado(a),Primario
7,816,7634862,26600,Moto,741193,"ALMARAZ, RAUL OMAR",515200,VILLA CARLOS PAZ,Córdoba,Centro,24/02/1958,66,Masculino,1,16/03/23,03/2023,Tradicional,Casado(a),Secundario
7,870,7261629,25300,Moto,741195,"MARTINO, AMELIA BEATRIZ",515200,VILLA CARLOS PAZ,Córdoba,Centro,2/11/1970,53,Femenino,1,,03/2023,Tradicional,Casado(a),Primario
7,854,N/A,N/A,Dinero,741198,"PEREYRA, RUBEN JOSE",515300,ICHO CRUZ,Córdoba,Centro,14/04/1959,65,Masculino,1,23/03/23,03/2023,Tradicional,Casado(a),Terciario
13,842,48231065,168000,Utilitario,705380,"CELIZ, RAUL ALBERTO",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,11/12/1969,54,Masculino,1,28/11/20,03/2023,Tradicional,Soltero(a),Terciario
13,869,7261629,25300,Moto,740308,"PEREYRA, LUIS RODOLFO",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,13/01/1960,64,Masculino,1,06/03/23,03/2023,Tradicional,Divorciado(a),Universitario
13,870,7261629,25300,Moto,740310,"LEIVA, MERCEDES DOMINGA",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,28/05/1955,69,Femenino,1,25/03/23,03/2023,Tradicional,Divorciado(a),Universitario
13,813,71773418,250000,Utilitario,740313,"JIMENEZ, VIVIANA MABEL",430000,LA BANDA,Santiago del Estero,NOA,9/05/1990,34,Femenino,1,25/03/23,03/2023,Tradicional,Divorciado(a),Secundario
13,872,12285912,42800,Dinero,740315,"ACOSTA, FRANCO CESAR",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,10/08/2000,24,Masculino,1,20/03/23,03/2023,Tradicional,Divorciado(a),Secundario
13,863,N/A,N/A,Moto,740317,"GOMEZ, MARIA ALICIA",430000,LA BANDA,Santiago del Estero,NOA,21/02/1968,56,Femenino,1,13/03/23,03/2023,Tradicional,Divorciado(a),Primario
13,864,9185212,32000,Moto,740372,"SALVATIERRA, CARLA YAMILA",422000,TERMAS RIO HONDO,Santiago del Estero,NOA,23/02/1996,28,Femenino,1,25/03/23,03/2023,Tradicional,Divorciado(a),Primario
13,837,N/A,N/A,Dinero,740373,"LEDESMA, CRISTINA DEL CARMEN",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,24/07/1970,54,Femenino,1,20/03/23,03/2023,Tradicional,Casado(a),Terciario
13,870,7261629,25300,Moto,740375,"VARGAS, EMILCE NOEMI",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,26/02/1977,47,Femenino,1,25/03/23,03/2023,Tradicional,Divorciado(a),Primario
13,817,7634862,26600,Moto,740378,"FARIAS, FABIAN GUSTAVO",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,13/06/1989,35,Masculino,1,25/03/23,03/2023,Tradicional,Soltero(a),Primario
13,869,7261629,25300,Moto,740380,"VARGAS, SOFIA AGUSTINA",420000,SANTIAGO DEL ESTERO,Santiago del Estero,NOA,1/12/1996,27,Femenino,1,,03/2023,Tradicional,Viudo(a),Universitario
13,822,21530592,75000,Automóvil,740392,"LEIVA, ROLANDO MARCELO",433401,REAL SAYANA,Santiago del Estero,NOA,18/02/1974,50,Masculino,1,20/03/23,03/2023,Tradicional,Divorciado(a),Primario
